V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,next_survey,uid,simv,uidq,simvq,audio,video,consent,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,next_survey,uid,simv,Unique ID,Simulation Version,Audio consent,Video consent,Consent to participate,LocationLatitude,LocationLongitude,LocationAccuracy,
R_a4Mk1hf5ne1WDZL,Default Response Set,Anonymous,,,129.78.56.131,0,2016-09-21 07:59:51,2016-09-21 08:00:22,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,160921_111,,160921_111,,<u>I DO NOT GIVE PERMISSION</u> for the researchers to make audio recordings of my participation.,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2uTVYPhgBjLYHTv,Default Response Set,Anonymous,,,129.78.56.141,0,2016-09-21 09:12:58,2016-09-21 09:13:20,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,160921_112,,160921_112,,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_BS3GMtdXJmDs3rH,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-04 12:06:35,2016-10-04 12:06:46,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100412_1-g2,simon_0.1.13.9001,16100412_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_1NabMPGvAqC02L3,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-05 14:15:45,2016-10-05 14:16:06,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100514_1-g1,simon_0.1.13.9001,16100514_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_3GxDVhlkwSmo9zj,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-05 14:17:21,2016-10-05 14:17:33,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100514_1-g2,simon_0.1.13.9001,16100514_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_Xh1gwEmPjWbqTn3,Default Response Set,Anonymous,,,129.78.56.141,0,2016-10-05 14:18:27,2016-10-05 14:18:39,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100514_2-d2,simon_0.1.13.9001,16100514_2-d2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2wEOzu0j8QmPYo1,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-07 09:12:41,2016-10-07 09:12:52,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100709_1-g2,simon_0.1.13.9001,16100709_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_Rq6PJJhj3egpNMR,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-07 12:24:42,2016-10-07 12:24:54,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16100712_1-g2,simon_0.1.13.9001,16100712_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_232mnegHDgP8d5g,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-11 09:08:15,2016-10-11 09:08:56,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16101109_1-g1,simon_0.1.13.9001,16101109_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
