V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,next_survey,uid,instructions,item(1),item(2),item(3),item(4),item(5),item(6),item(7),item(8),item(9),item(10),item(11),item(12),item(13),item(14),item(15),item(16),item(17),item(18),item(19),item(20),LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,next_survey,uid,This questionnaire will ask how accurately various statements describe you.   Describe yourself a...,How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (1),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (2),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (3),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (4),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (5),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (6),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (7),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (8),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (9),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (10),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (11),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (12),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (13),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (14),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (15),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (16),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (17),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (18),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (19),How accurate is this statement as a description of you?${lm://Field/1}Answer using your keyboard... (20),LocationLatitude,LocationLongitude,LocationAccuracy,
R_3iOSjLFOMjFJkVD,Default Response Set,Anonymous,,,27.32.21.38,0,2016-09-15 13:48:53,2016-09-15 13:50:18,1,,TEST,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1473911368826,""offset"":1473911370655,""rt"":1829,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1473911416647,""offset"":1473911417420,""rt"":773,""response"":""1""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1473911391992,""offset"":1473911395528,""rt"":3536,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1473911361219,""offset"":1473911363509,""rt"":2290,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1473911412711,""offset"":1473911413083,""rt"":372,""response"":""1""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1473911384727,""offset"":1473911387412,""rt"":2685,""response"":""3""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1473911348111,""offset"":1473911350715,""rt"":2604,""response"":""1""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1473911402860,""offset"":1473911407296,""rt"":4436,""response"":""2""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1473911364919,""offset"":1473911367328,""rt"":2409,""response"":""2""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1473911352175,""offset"":1473911353526,""rt"":1351,""response"":""5""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1473911378832,""offset"":1473911383306,""rt"":4474,""response"":""2""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1473911337409,""offset"":1473911346639,""rt"":9230,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1473911375265,""offset"":1473911377425,""rt"":2160,""response"":""1""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1473911414535,""offset"":1473911415220,""rt"":685,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1473911357845,""offset"":1473911359797,""rt"":1952,""response"":""2""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1473911396984,""offset"":1473911401445,""rt"":4461,""response"":""5""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1473911408712,""offset"":1473911411273,""rt"":2561,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1473911355017,""offset"":1473911356403,""rt"":1386,""response"":""1""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1473911388860,""offset"":1473911390564,""rt"":1704,""response"":""1""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1473911372068,""offset"":1473911373807,""rt"":1739,""response"":""1""}",-33.877807617188,151.24349975586,-1,
R_CjpCzlufsUeoH4d,Default Response Set,Anonymous,,,129.78.56.141,0,2016-09-21 10:29:07,2016-09-21 10:30:58,1,,160921_112,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1474417830196,""offset"":1474417832243,""rt"":2047,""response"":""4""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1474417803045,""offset"":1474417806019,""rt"":2974,""response"":""5""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1474417854857,""offset"":1474417856756,""rt"":1899,""response"":""1""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1474417783756,""offset"":1474417787315,""rt"":3559,""response"":""1""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1474417812114,""offset"":1474417829283,""rt"":17169,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1474417835987,""offset"":1474417837860,""rt"":1873,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1474417795292,""offset"":1474417802115,""rt"":6823,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1474417806945,""offset"":1474417811203,""rt"":4258,""response"":""2""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1474417770615,""offset"":1474417775475,""rt"":4860,""response"":""3""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1474417838823,""offset"":1474417842436,""rt"":3613,""response"":""3""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1474417849490,""offset"":1474417853845,""rt"":4355,""response"":""5""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1474417846153,""offset"":1474417848563,""rt"":2410,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1474417857723,""offset"":1474417859603,""rt"":1880,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1474417788303,""offset"":1474417790562,""rt"":2259,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1474417776466,""offset"":1474417778018,""rt"":1552,""response"":""4""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1474417843397,""offset"":1474417845220,""rt"":1823,""response"":""2""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1474417833208,""offset"":1474417835060,""rt"":1852,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1474417778940,""offset"":1474417782787,""rt"":3847,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1474417791477,""offset"":1474417794338,""rt"":2861,""response"":""2""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1474417754288,""offset"":1474417769694,""rt"":15406,""response"":""4""}",-33.86149597168,151.20550537109,-1,
R_cN46C8T3gVAiNvv,Default Response Set,Anonymous,,,27.32.21.38,0,2016-09-15 13:46:37,2016-09-15 13:46:57,0,,TEST,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8cEmQ4edxcmOSr3,Default Response Set,Anonymous,,,60.242.153.190,0,2016-09-18 19:45:57,2016-09-18 19:50:33,0,,TEST_LAB,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6AnTs7Lgqeognqd,Default Response Set,Anonymous,,,103.21.158.113,0,2016-09-20 12:20:14,2016-09-20 12:20:22,0,,TEST_LAB,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3HMPLBKChJVE6H3,Default Response Set,Anonymous,,,129.78.56.141,0,2016-09-21 10:27:00,2016-09-21 10:28:59,0,,160921_112,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_27floPk5Vx7FJUX,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-04 13:45:06,2016-10-04 13:47:37,1,,16100412_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475549147094,""offset"":1475549150015,""rt"":2921,""response"":""4""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475549207218,""offset"":1475549214919,""rt"":7701,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475549137422,""offset"":1475549146203,""rt"":8781,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475549237595,""offset"":1475549243976,""rt"":6381,""response"":""4""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475549156881,""offset"":1475549159735,""rt"":2854,""response"":""5""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475549165511,""offset"":1475549175791,""rt"":10280,""response"":""2""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475549197756,""offset"":1475549206295,""rt"":8539,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475549176707,""offset"":1475549182351,""rt"":5644,""response"":""3""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475549215820,""offset"":1475549218383,""rt"":2563,""response"":""1""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475549150947,""offset"":1475549155878,""rt"":4931,""response"":""2""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475549254337,""offset"":1475549257032,""rt"":2695,""response"":""5""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475549183318,""offset"":1475549187095,""rt"":3777,""response"":""5""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475549230804,""offset"":1475549236712,""rt"":5908,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475549115306,""offset"":1475549136535,""rt"":21229,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475549191210,""offset"":1475549196831,""rt"":5621,""response"":""2""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475549219306,""offset"":1475549229847,""rt"":10541,""response"":""1""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475549250900,""offset"":1475549253360,""rt"":2460,""response"":""5""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475549244867,""offset"":1475549249968,""rt"":5101,""response"":""1""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475549160679,""offset"":1475549164623,""rt"":3944,""response"":""1""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475549188030,""offset"":1475549190302,""rt"":2272,""response"":""1""}",-33.86149597168,151.20550537109,-1,
R_276Vp2HBniw5Nqc,Default Response Set,Anonymous,,,129.78.56.140,0,2016-10-05 15:26:45,2016-10-05 15:28:27,1,,16100515_2-d1,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475641650742,""offset"":1475641656377,""rt"":5635,""response"":""3""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475641625832,""offset"":1475641632019,""rt"":6187,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475641632943,""offset"":1475641636794,""rt"":3851,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475641641582,""offset"":1475641644938,""rt"":3356,""response"":""2""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475641700585,""offset"":1475641702155,""rt"":1570,""response"":""5""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475641674453,""offset"":1475641677019,""rt"":2566,""response"":""5""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475641703105,""offset"":1475641706539,""rt"":3434,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475641707432,""offset"":1475641710075,""rt"":2643,""response"":""2""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475641645861,""offset"":1475641647114,""rt"":1253,""response"":""3""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475641659798,""offset"":1475641670027,""rt"":10229,""response"":""4""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475641670924,""offset"":1475641673531,""rt"":2607,""response"":""3""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475641647999,""offset"":1475641649818,""rt"":1819,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475641657324,""offset"":1475641658906,""rt"":1582,""response"":""4""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475641681149,""offset"":1475641682987,""rt"":1838,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475641677935,""offset"":1475641680267,""rt"":2332,""response"":""3""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475641637677,""offset"":1475641640649,""rt"":2972,""response"":""3""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475641687440,""offset"":1475641691067,""rt"":3627,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475641695612,""offset"":1475641699659,""rt"":4047,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475641691997,""offset"":1475641694699,""rt"":2702,""response"":""2""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475641683900,""offset"":1475641686555,""rt"":2655,""response"":""2""}",-33.86149597168,151.20550537109,-1,
R_1Qmdwbc35BlDzWZ,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-05 15:47:27,2016-10-05 15:49:05,1,,16100514_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475642940346,""offset"":1475642941713,""rt"":1367,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475642929505,""offset"":1475642934345,""rt"":4840,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475642942642,""offset"":1475642944689,""rt"":2047,""response"":""3""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475642908000,""offset"":1475642912881,""rt"":4881,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475642875873,""offset"":1475642878121,""rt"":2248,""response"":""3""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475642894906,""offset"":1475642896425,""rt"":1519,""response"":""3""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475642861308,""offset"":1475642874948,""rt"":13640,""response"":""3""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475642897341,""offset"":1475642900008,""rt"":2667,""response"":""4""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475642945638,""offset"":1475642948377,""rt"":2739,""response"":""2""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475642882151,""offset"":1475642885721,""rt"":3570,""response"":""2""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475642935272,""offset"":1475642939434,""rt"":4162,""response"":""4""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475642924293,""offset"":1475642925905,""rt"":1612,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475642926849,""offset"":1475642928617,""rt"":1768,""response"":""3""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475642918860,""offset"":1475642923361,""rt"":4501,""response"":""1""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475642905201,""offset"":1475642907089,""rt"":1888,""response"":""5""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475642889683,""offset"":1475642893985,""rt"":4302,""response"":""2""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475642886681,""offset"":1475642888617,""rt"":1936,""response"":""3""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475642913799,""offset"":1475642917929,""rt"":4130,""response"":""3""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475642900929,""offset"":1475642904241,""rt"":3312,""response"":""3""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475642879123,""offset"":1475642881257,""rt"":2134,""response"":""3""}",-33.86149597168,151.20550537109,-1,
